obsID,CountyID,impactLevel,FloodSource,countyName,EARegion,AltCountyName,ObservationDate,ImpactLevelDescription,FloodSourceDescription
1732,24,,,Lancashire,Northwest - Warrington,Lancashire,09/11/2015,,
1734,90,3,R,Conwy,Wales,Conwy,10/11/2015,Minor,River
1734,94,3,R,Powys,Wales,Powys,10/11/2015,Minor,River
1735,55,3,R,York,Northeast - Leeds,York,11/11/2015,Minor,River
1736,15,,,Devon,Southwest - Exeter,Devon,13/11/2015,,
1746,13,2,R,Cumbria,Northwest - Warrington,Cumbria,15/11/2015,Significant,River
1747,5,3,R,West Yorkshire,Northeast - Leeds,W Yorkshire,15/11/2015,Minor,River
1747,5,2,R,West Yorkshire,Northeast - Leeds,W Yorkshire,15/11/2015,Significant,River
1747,5,3,S,West Yorkshire,Northeast - Leeds,W Yorkshire,15/11/2015,Minor,Surface water
1748,30,3,R,North Yorkshire,Northeast - Leeds,N Yorkshire,15/11/2015,Minor,River
1748,30,2,R,North Yorkshire,Northeast - Leeds,N Yorkshire,15/11/2015,Significant,River
1748,30,3,S,North Yorkshire,Northeast - Leeds,N Yorkshire,15/11/2015,Minor,Surface water
1748,30,2,S,North Yorkshire,Northeast - Leeds,N Yorkshire,15/11/2015,Significant,Surface water
1749,14,3,S,Derbyshire,Midlands - Solihull,Derbyshire,15/11/2015,Minor,Surface water
1750,90,3,R,Conwy,Wales,Conwy,15/11/2015,Minor,River
1750,89,3,R,Gwynedd,Wales,Gwynedd,15/11/2015,Minor,River
1750,94,3,R,Powys,Wales,Powys,15/11/2015,Minor,River
1750,97,3,S,Carmarthenshire,Wales,Carmarthenshire,15/11/2015,Minor,Surface water
1747,5,2,S,West Yorkshire,Northeast - Leeds,W Yorkshire,15/11/2015,Significant,Surface water
1737,7,3,R,Greater Manchester,Northwest - Warrington,Gtr Manchester,15/11/2015,Minor,River
1751,15,,,Devon,Southwest - Exeter,Devon,15/11/2015,,
1739,14,3,R,Derbyshire,Midlands - Solihull,Derbyshire,15/11/2015,Minor,River
1742,7,2,R,Greater Manchester,Northwest - Warrington,Gtr Manchester,15/11/2015,Significant,River
1743,7,2,R,Greater Manchester,Northwest - Warrington,Gtr Manchester,15/11/2015,Significant,River
